article-title,article-pmid
Individual and Additive Effects of the CNR1 and FAAH Genes on Brain Response to Marijuana Cues,20010552
Specifically Progressive Deficits of Brain Functional Marker in Amnestic Type Mild Cognitive Impairment,21935394
Probing the cortical network underlying the psychological refractory period: A combined EEG–fMRI study ,21397701
Mesmerizing Memories: Brain Substrates of Episodic Memory Suppression in Posthypnotic Amnesia ,18184572
Preattentive mechanisms of change detection in early auditory cortex: A 7Tesla fMRI study ,23994180
Levodopa Effects on Hand and Speech Movements in Patients with Parkinson’s Disease: A fMRI Study,23056337
Encoding- and retrieval-related brain activity underlying false recognition ,23726799
Imaging first impressions: Distinct neural processing of verbal and nonverbal social information ,22227133
Structural brain alteration in survivors of acute lymphoblastic leukemia with chemotherapy treatment: A voxel-based morphometry and diffusion tensor imaging study ,28109978
Picture novelty attenuates semantic interference and modulates concomitant neural activity in the anterior cingulate cortex and the locus coeruleus ,23454569
Antidepressant treatment normalizes hypoactivity in dorsolateral prefrontal cortex during emotional interference processing in major depression,18559283
Lateralized task shift effects in Broca's and Wernicke's regions and in visual word form area are selective for conceptual content and reflect trial history ,25047449
Effect of language task demands on the neural response during lexical access: a functional magnetic resonance imaging study,24381811
Effects of Alcohol Intoxication on Response Conflict in a Flanker Task,23772336
Posterior Midline Activation during Symptom Provocation in Acute Stress Disorder: An fMRI Study,24847285
Money talks: neural substrate of modulation of fairness by monetary incentives,24834034
Alterations in Amygdala-Prefrontal Functional Connectivity Account for Excessive Worry and Autonomic Dysregulation in Generalized Anxiety Disorder ,26682467
"Common and differential neural networks of emotion regulation by Detachment, Reinterpretation, Distraction, and Expressive Suppression: A comparative fMRI investigation ",24993897
Functional connectivity of frontoparietal network predicts cognitive modulation of pain,23352757
Source recognition by stimulus content in the MTL ,24486613
Local-to-remote cortical connectivity in amnestic mild cognitive impairment ,28528774
Distributed BOLD-response in association cortex vector state space predicts reaction time during selective attention ,16406256
The parietal memory network activates similarly for true and associative false recognition elicited via the DRM procedure ,27745847
Role of emotional processing in depressive responses to sex-hormone manipulation: a pharmacological fMRI study,26624927
Anterior cingulate cortex and insula response during indirect and direct processing of emotional faces in generalized social anxiety disorder,23547713
Functional connectivity to a right hemisphere language center in prematurely born adolescents,20347043
Language control in bilinguals: Intention to speak vs. execution of speech ,25868150
Attentional shifts induced by uninformative number symbols modulate neural activity in human occipital cortex ,23044279
Cerebral blood flow associated with creative performance: A comparative study ,17884587
Responsiveness and functional connectivity of the scene-sensitive retrosplenial complex in 7–11-year-old children ,25463140
Frequency specific changes in regional cerebral blood flow and motor system connectivity following rTMS to the primary motor cortex ,15862216
Can age-related CNS taste differences be detected as early as middle age? Evidence from fMRI,23211563
Structure of Plasticity in Human Sensory and Motor Networks Due to Perceptual Learning,24523536
Central representation of hyperalgesia from myofascial trigger point ,17999939
Impact of mindfulness on the neural responses to emotional pictures in experienced and beginner meditators ,21679770
Neural circuitry involved in quitting after repeated failures: role of the cingulate and temporal parietal junction,27097529
Neural response to the visual familiarity of faces ,17113931
Neural Mechanisms of Belief Inference during Cooperative Games,20702705
Functional MRI of Sleep Spindles and K-complexes,21775199
Conversation effects on neural mechanisms underlying reaction time to visual events while viewing a driving scene: fMRI analysis and asynchrony model ,18952070
Brain activation for language dual‐tasking: Listening to two people speak at the same time and a change in network timing,21618666
The many faces of the gamma band response to complex visual stimuli ,15784428
Delineating the cortico-striatal-cerebellar network in implicit motor sequence learning ,24632466
Enhanced Neuroactivation during Working Memory Task in Postmenopausal Women Receiving Hormone Therapy: A Coordinate-Based Meta-Analysis,25717297
Abnormal degree centrality of functional hubs associated with negative coping in older Chinese adults who lost their only child ,26391339
Human striatal activation during adjustment of the response criterion in visual word recognition ,20807575
Oppositional COMT Val158Met effects on resting state functional connectivity in adolescents and adults,25319752
Neuroanatomical Distinctions within the Semantic System during Sentence Comprehension: Evidence from functional Magnetic Resonance Imaging,18248739
Aberrant functional network recruitment of posterior parietal cortex in turner syndrome,22711287
Structural Integrity of the Prefrontal Cortex Modulates Electrocortical Sensitivity to Reward,22098260
A Common Left Occipito-Temporal Dysfunction in Developmental Dyslexia and Acquired Letter-By-Letter Reading?,20711448
The neural substrate of the ideomotor principle: An event-related fMRI analysis ,17988896
The amodal system for conscious word and picture identification in the absence of a semantic task ,20004724
Neural correlates of memory confidence ,17029986
Changes in regional homogeneity of parieto-temporal regions in panic disorder patients who achieved remission with antidepressant treatment ,23993443
Sensorimotor network in cervical dystonia and the effect of botulinum toxin treatment: A functional MRI study ,21492880
"Walking indoors, walking outdoors: an fMRI study",26483745
The effects of tetrahydrobiopterin (BH 4 ) treatment on brain function in individuals with phenylketonuria ☆,24371792
